BANDERA;(Varios elementos);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
FECHA;FARMACIA;Meta 1 $$;;;;;;;;;;;;;;
2/4/2026;BELGRANO IV; $ -   ;;;;;;;;;;;;;;
2/4/2026;BELGRANO V; $ 12.669.269 ;;;;;;;;;;;;;;
2/4/2026;BELGRANO VI; $ 7.079.373 ;;;;;;;;;;;;;;
2/4/2026;BELGRANO VII - Danesa; $ 32.538.893 ;;;;;;;;;;;;;;
2/4/2026;BELGRANO VIII; $ 9.176.855 ;;;;;;;;;;;;;;
2/4/2026;BERAZATEGUI; $ 32.130.038 ;;;;;;;;;;;;;;
2/4/2026;BERAZATEGUI II; $ 12.273.746 ;;;;;;;;;;;;;;
2/4/2026;Boedo; $ 3.032.524 ;;;;;;;;;;;;;;
2/4/2026;CABALLITO; $ 27.215.674 ;;;;;;;;;;;;;;
2/4/2026;CABALLITO II; $ 11.055.120 ;;;;;;;;;;;;;;
2/4/2026;CABALLITO III; $ 12.964.913 ;;;;;;;;;;;;;;
2/4/2026;CABALLITO IV; $ 12.405.790 ;;;;;;;;;;;;;;
2/4/2026;CHACARITA; $ 3.955.160 ;;;;;;;;;;;;;;
2/4/2026;DEVOTO; $ 17.184.798 ;;;;;;;;;;;;;;
2/4/2026;Devoto II; $ 10.705.978 ;;;;;;;;;;;;;;
2/4/2026;Devoto III; $ 2.119.543 ;;;;;;;;;;;;;;
2/4/2026;Escobar; $ 2.167.768 ;;;;;;;;;;;;;;
2/4/2026;FLORES; $ 18.627.825 ;;;;;;;;;;;;;;
2/4/2026;GONZALEZ CATAN; $ 16.988.814 ;;;;;;;;;;;;;;
2/4/2026;GONZALEZ CATAN II; $ 8.444.459 ;;;;;;;;;;;;;;
2/4/2026;GONZALEZ CATAN III; $ -   ;;;;;;;;;;;;;;
2/4/2026;ISDIN G. PACIFICO; $ 374.847 ;;;;;;;;;;;;;;
2/4/2026;ISDIN PALERMO; $ 391.150 ;;;;;;;;;;;;;;
2/4/2026;LAS CANITAS; $ 12.834.478 ;;;;;;;;;;;;;;
2/4/2026;LOREAL ALTO PALERMO; $ 1.449.540 ;;;;;;;;;;;;;;
2/4/2026;LOREAL G. PACIFICO; $ 641.489 ;;;;;;;;;;;;;;
2/4/2026;MERCEDES; $ -   ;;;;;;;;;;;;;;
2/4/2026;MICROCENTRO; $ -   ;;;;;;;;;;;;;;
2/4/2026;MICROCENTRO II; $ -   ;;;;;;;;;;;;;;
2/4/2026;MORON; $ 14.348.299 ;;;;;;;;;;;;;;
2/4/2026;NUNEZ; $ 14.673.682 ;;;;;;;;;;;;;;
2/4/2026;PADUA; $ 4.995.556 ;;;;;;;;;;;;;;
2/4/2026;PALERMO; $ 6.915.403 ;;;;;;;;;;;;;;
2/4/2026;PALERMO II; $ 5.929.584 ;;;;;;;;;;;;;;
2/4/2026;PALERMO III; $ 5.312.011 ;;;;;;;;;;;;;;
2/4/2026;PALERMO IV; $ 2.007.532 ;;;;;;;;;;;;;;
2/4/2026;PARQUE CENTENARIO; $ -   ;;;;;;;;;;;;;;
