BANDERA;(Varios elementos);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
FECHA;FARMACIA;Meta 1 $$;;;;;;;;;;;;;;
5/4/2026;RECOLETA V; $ -   ;;;;;;;;;;;;;;
5/4/2026;RETIRO; $ -   ;;;;;;;;;;;;;;
5/4/2026;RETIRO II; $ -   ;;;;;;;;;;;;;;
5/4/2026;SALADILLO; $ -   ;;;;;;;;;;;;;;
5/4/2026;SAN ISIDRO; $ 39.758.227 ;;;;;;;;;;;;;;
5/4/2026;SAN ISIDRO II; $ -   ;;;;;;;;;;;;;;
5/4/2026;SAN MIGUEL; $ -   ;;;;;;;;;;;;;;
5/4/2026;TRIBUNALES; $ -   ;;;;;;;;;;;;;;
5/4/2026;VILLA BALLESTER; $ 35.940.138 ;;;;;;;;;;;;;;
5/4/2026;VILLA BALLESTER II; $ -   ;;;;;;;;;;;;;;
5/4/2026;VILLA CRESPO; $ 8.923.725 ;;;;;;;;;;;;;;
5/4/2026;VILLA DEL PARQUE; $ -   ;;;;;;;;;;;;;;
5/4/2026;VILLA DEL PARQUE II; $ 9.366.989 ;;;;;;;;;;;;;;
5/4/2026;VILLA LURO; $ -   ;;;;;;;;;;;;;;
5/4/2026;VILLA URQUIZA; $ 12.075.401 ;;;;;;;;;;;;;;
5/4/2026;VILLA URQUIZA II; $ 5.484.486 ;;;;;;;;;;;;;;
5/4/2026;VILLA URQUIZA III; $ 10.054.485 ;;;;;;;;;;;;;;
Total 5/4/2026;; $ 324.662.801 ;;;;;;;;;;;;;;
6/4/2026;BARRACAS; $ 14.630.259 ;;;;;;;;;;;;;;
6/4/2026;BECCAR; $ 31.437.378 ;;;;;;;;;;;;;;
6/4/2026;BELGRANO; $ 20.145.271 ;;;;;;;;;;;;;;
6/4/2026;BELGRANO II; $ 22.030.032 ;;;;;;;;;;;;;;
6/4/2026;BELGRANO III; $ 15.305.267 ;;;;;;;;;;;;;;
6/4/2026;BELGRANO IV; $ 18.005.898 ;;;;;;;;;;;;;;
6/4/2026;BELGRANO V; $ 22.623.696 ;;;;;;;;;;;;;;
6/4/2026;BELGRANO VI; $ 12.641.737 ;;;;;;;;;;;;;;
6/4/2026;BELGRANO VII - Danesa; $ 58.105.167 ;;;;;;;;;;;;;;
6/4/2026;BELGRANO VIII; $ 16.387.241 ;;;;;;;;;;;;;;
6/4/2026;BERAZATEGUI; $ 57.375.068 ;;;;;;;;;;;;;;
6/4/2026;BERAZATEGUI II; $ 21.917.404 ;;;;;;;;;;;;;;
6/4/2026;Boedo; $ 5.415.221 ;;;;;;;;;;;;;;
6/4/2026;CABALLITO; $ 48.599.419 ;;;;;;;;;;;;;;
6/4/2026;CABALLITO II; $ 19.741.286 ;;;;;;;;;;;;;;
6/4/2026;CABALLITO III; $ 23.151.629 ;;;;;;;;;;;;;;
6/4/2026;CABALLITO IV; $ 22.153.196 ;;;;;;;;;;;;;;
6/4/2026;CHACARITA; $ 7.062.785 ;;;;;;;;;;;;;;
6/4/2026;DEVOTO; $ 30.687.138 ;;;;;;;;;;;;;;
6/4/2026;Devoto II; $ 19.117.819 ;;;;;;;;;;;;;;
6/4/2026;Devoto III; $ 3.784.898 ;;;;;;;;;;;;;;
6/4/2026;Escobar; $ 3.871.014 ;;;;;;;;;;;;;;
6/4/2026;FLORES; $ 33.263.974 ;;;;;;;;;;;;;;
6/4/2026;GONZALEZ CATAN; $ 28.314.690 ;;;;;;;;;;;;;;
6/4/2026;GONZALEZ CATAN II; $ 14.074.099 ;;;;;;;;;;;;;;
6/4/2026;GONZALEZ CATAN III; $ 5.130.681 ;;;;;;;;;;;;;;
6/4/2026;ISDIN G. PACIFICO; $ 669.369 ;;;;;;;;;;;;;;
6/4/2026;ISDIN PALERMO; $ 698.483 ;;;;;;;;;;;;;;
6/4/2026;LAS CANITAS; $ 22.918.711 ;;;;;;;;;;;;;;
6/4/2026;LOREAL ALTO PALERMO; $ 2.588.464 ;;;;;;;;;;;;;;
6/4/2026;LOREAL G. PACIFICO; $ 1.145.516 ;;;;;;;;;;;;;;
6/4/2026;MERCEDES; $ 10.844.672 ;;;;;;;;;;;;;;
6/4/2026;MICROCENTRO; $ 28.569.600 ;;;;;;;;;;;;;;
6/4/2026;MICROCENTRO II; $ 30.116.255 ;;;;;;;;;;;;;;
6/4/2026;MORON; $ 23.913.831 ;;;;;;;;;;;;;;
6/4/2026;NUNEZ; $ 26.203.004 ;;;;;;;;;;;;;;
6/4/2026;PADUA; $ 8.325.927 ;;;;;;;;;;;;;;
6/4/2026;PALERMO; $ 12.348.934 ;;;;;;;;;;;;;;
6/4/2026;PALERMO II; $ 10.588.543 ;;;;;;;;;;;;;;
6/4/2026;PALERMO III; $ 9.485.735 ;;;;;;;;;;;;;;
6/4/2026;PALERMO IV; $ 3.584.879 ;;;;;;;;;;;;;;
6/4/2026;PARQUE CENTENARIO; $ 7.150.117 ;;;;;;;;;;;;;;
6/4/2026;PARQUE PATRICIOS; $ 10.611.887 ;;;;;;;;;;;;;;
6/4/2026;PILAR; $ 10.015.669 ;;;;;;;;;;;;;;
6/4/2026;POMPEYA; $ 10.679.903 ;;;;;;;;;;;;;;
6/4/2026;QUILMES; $ 28.775.803 ;;;;;;;;;;;;;;
6/4/2026;RAMOS MEJIA; $ 20.873.856 ;;;;;;;;;;;;;;
6/4/2026;RAMOS MEJIA II; $ 15.855.013 ;;;;;;;;;;;;;;
6/4/2026;RAMOS MEJIA III; $ 2.591.091 ;;;;;;;;;;;;;;
6/4/2026;RECOLETA; $ 11.248.856 ;;;;;;;;;;;;;;
6/4/2026;RECOLETA II; $ 15.177.420 ;;;;;;;;;;;;;;
6/4/2026;RECOLETA III; $ 27.784.146 ;;;;;;;;;;;;;;
6/4/2026;RECOLETA IV; $ 22.547.936 ;;;;;;;;;;;;;;
6/4/2026;RECOLETA V; $ 24.529.631 ;;;;;;;;;;;;;;
6/4/2026;RETIRO; $ 16.550.351 ;;;;;;;;;;;;;;
6/4/2026;RETIRO II; $ 12.195.243 ;;;;;;;;;;;;;;
6/4/2026;SALADILLO; $ 5.836.659 ;;;;;;;;;;;;;;
6/4/2026;SAN ISIDRO; $ 72.739.051 ;;;;;;;;;;;;;;
6/4/2026;SAN ISIDRO II; $ 20.508.011 ;;;;;;;;;;;;;;
6/4/2026;SAN MIGUEL; $ 11.854.027 ;;;;;;;;;;;;;;
6/4/2026;TRIBUNALES; $ 30.512.599 ;;;;;;;;;;;;;;
6/4/2026;VILLA BALLESTER; $ 60.559.316 ;;;;;;;;;;;;;;
6/4/2026;VILLA BALLESTER II; $ 30.431.741 ;;;;;;;;;;;;;;
6/4/2026;VILLA CRESPO; $ 21.346.099 ;;;;;;;;;;;;;;
6/4/2026;VILLA DEL PARQUE; $ 23.593.520 ;;;;;;;;;;;;;;
6/4/2026;VILLA DEL PARQUE II; $ 24.373.122 ;;;;;;;;;;;;;;
6/4/2026;VILLA LURO; $ 14.986.964 ;;;;;;;;;;;;;;
6/4/2026;VILLA URQUIZA; $ 32.326.311 ;;;;;;;;;;;;;;
6/4/2026;VILLA URQUIZA II; $ 16.018.155 ;;;;;;;;;;;;;;
6/4/2026;VILLA URQUIZA III; $ 24.317.622 ;;;;;;;;;;;;;;
Total 6/4/2026;; $ 1.392.964.314 ;;;;;;;;;;;;;;
7/4/2026;BARRACAS; $ 14.749.625 ;;;;;;;;;;;;;;
7/4/2026;BECCAR; $ 30.747.488 ;;;;;;;;;;;;;;
7/4/2026;BELGRANO; $ 20.262.008 ;;;;;;;;;;;;;;
7/4/2026;BELGRANO II; $ 21.185.677 ;;;;;;;;;;;;;;
7/4/2026;BELGRANO III; $ 13.199.959 ;;;;;;;;;;;;;;
7/4/2026;BELGRANO IV; $ 17.740.737 ;;;;;;;;;;;;;;
7/4/2026;BELGRANO V; $ 20.810.223 ;;;;;;;;;;;;;;
7/4/2026;BELGRANO VI; $ 12.236.564 ;;;;;;;;;;;;;;
7/4/2026;BELGRANO VII - Danesa; $ 55.388.391 ;;;;;;;;;;;;;;
7/4/2026;BELGRANO VIII; $ 14.532.575 ;;;;;;;;;;;;;;
7/4/2026;BERAZATEGUI; $ 50.560.756 ;;;;;;;;;;;;;;
7/4/2026;BERAZATEGUI II; $ 19.603.157 ;;;;;;;;;;;;;;
7/4/2026;Boedo; $ 5.104.735 ;;;;;;;;;;;;;;
7/4/2026;CABALLITO; $ 46.875.753 ;;;;;;;;;;;;;;
7/4/2026;CABALLITO II; $ 18.121.941 ;;;;;;;;;;;;;;
7/4/2026;CABALLITO III; $ 21.929.913 ;;;;;;;;;;;;;;
7/4/2026;CABALLITO IV; $ 21.688.602 ;;;;;;;;;;;;;;
7/4/2026;CHACARITA; $ 6.257.366 ;;;;;;;;;;;;;;
7/4/2026;DEVOTO; $ 29.474.354 ;;;;;;;;;;;;;;
7/4/2026;Devoto II; $ 18.442.836 ;;;;;;;;;;;;;;
7/4/2026;Devoto III; $ 3.567.887 ;;;;;;;;;;;;;;
7/4/2026;Escobar; $ 3.649.066 ;;;;;;;;;;;;;;
7/4/2026;FLORES; $ 28.556.816 ;;;;;;;;;;;;;;
7/4/2026;GONZALEZ CATAN; $ 26.352.956 ;;;;;;;;;;;;;;
7/4/2026;GONZALEZ CATAN II; $ 13.882.426 ;;;;;;;;;;;;;;
7/4/2026;GONZALEZ CATAN III; $ 4.619.208 ;;;;;;;;;;;;;;
7/4/2026;ISDIN G. PACIFICO; $ 659.169 ;;;;;;;;;;;;;;
7/4/2026;ISDIN PALERMO; $ 882.052 ;;;;;;;;;;;;;;
7/4/2026;LAS CANITAS; $ 22.196.972 ;;;;;;;;;;;;;;
7/4/2026;LOREAL ALTO PALERMO; $ 3.296.408 ;;;;;;;;;;;;;;
7/4/2026;LOREAL G. PACIFICO; $ 1.546.001 ;;;;;;;;;;;;;;
7/4/2026;MERCEDES; $ 11.672.762 ;;;;;;;;;;;;;;
7/4/2026;MICROCENTRO; $ 26.926.018 ;;;;;;;;;;;;;;
7/4/2026;MICROCENTRO II; $ 31.782.763 ;;;;;;;;;;;;;;
7/4/2026;MORON; $ 25.174.582 ;;;;;;;;;;;;;;
7/4/2026;NUNEZ; $ 24.490.850 ;;;;;;;;;;;;;;
7/4/2026;PADUA; $ 6.942.957 ;;;;;;;;;;;;;;
7/4/2026;PALERMO; $ 11.746.678 ;;;;;;;;;;;;;;
7/4/2026;PALERMO II; $ 10.043.294 ;;;;;;;;;;;;;;
7/4/2026;PALERMO III; $ 8.776.670 ;;;;;;;;;;;;;;
7/4/2026;PALERMO IV; $ 3.379.337 ;;;;;;;;;;;;;;
7/4/2026;PARQUE CENTENARIO; $ 7.164.384 ;;;;;;;;;;;;;;
7/4/2026;PARQUE PATRICIOS; $ 8.718.220 ;;;;;;;;;;;;;;
7/4/2026;PILAR; $ 9.941.065 ;;;;;;;;;;;;;;
7/4/2026;POMPEYA; $ 10.054.043 ;;;;;;;;;;;;;;
7/4/2026;QUILMES; $ 26.947.864 ;;;;;;;;;;;;;;
7/4/2026;RAMOS MEJIA; $ 19.698.381 ;;;;;;;;;;;;;;
7/4/2026;RAMOS MEJIA II; $ 17.963.518 ;;;;;;;;;;;;;;
7/4/2026;RAMOS MEJIA III; $ 2.394.610 ;;;;;;;;;;;;;;
7/4/2026;RECOLETA; $ 10.689.461 ;;;;;;;;;;;;;;
7/4/2026;RECOLETA II; $ 12.999.237 ;;;;;;;;;;;;;;
7/4/2026;RECOLETA III; $ 26.756.694 ;;;;;;;;;;;;;;
7/4/2026;RECOLETA IV; $ 21.591.986 ;;;;;;;;;;;;;;
7/4/2026;RECOLETA V; $ 22.626.199 ;;;;;;;;;;;;;;
7/4/2026;RETIRO; $ 15.414.690 ;;;;;;;;;;;;;;
7/4/2026;RETIRO II; $ 11.033.144 ;;;;;;;;;;;;;;
7/4/2026;SALADILLO; $ 7.059.503 ;;;;;;;;;;;;;;
7/4/2026;SAN ISIDRO; $ 69.536.404 ;;;;;;;;;;;;;;
7/4/2026;SAN ISIDRO II; $ 19.169.995 ;;;;;;;;;;;;;;
7/4/2026;SAN MIGUEL; $ 10.494.087 ;;;;;;;;;;;;;;
7/4/2026;TRIBUNALES; $ 32.229.666 ;;;;;;;;;;;;;;
7/4/2026;VILLA BALLESTER; $ 59.176.434 ;;;;;;;;;;;;;;
7/4/2026;VILLA BALLESTER II; $ 28.731.615 ;;;;;;;;;;;;;;
7/4/2026;VILLA CRESPO; $ 20.869.585 ;;;;;;;;;;;;;;
7/4/2026;VILLA DEL PARQUE; $ 22.555.509 ;;;;;;;;;;;;;;
7/4/2026;VILLA DEL PARQUE II; $ 22.278.547 ;;;;;;;;;;;;;;
7/4/2026;VILLA LURO; $ 14.602.549 ;;;;;;;;;;;;;;
7/4/2026;VILLA URQUIZA; $ 30.627.418 ;;;;;;;;;;;;;;
7/4/2026;VILLA URQUIZA II; $ 15.266.156 ;;;;;;;;;;;;;;
7/4/2026;VILLA URQUIZA III; $ 23.011.478 ;;;;;;;;;;;;;;
Total 7/4/2026;; $ 1.328.659.976 ;;;;;;;;;;;;;;
8/4/2026;BARRACAS; $ 14.975.831 ;;;;;;;;;;;;;;
8/4/2026;BECCAR; $ 32.800.061 ;;;;;;;;;;;;;;
8/4/2026;BELGRANO; $ 18.953.605 ;;;;;;;;;;;;;;
8/4/2026;BELGRANO II; $ 19.388.435 ;;;;;;;;;;;;;;
8/4/2026;BELGRANO III; $ 13.237.592 ;;;;;;;;;;;;;;
8/4/2026;BELGRANO IV; $ 13.423.471 ;;;;;;;;;;;;;;
8/4/2026;BELGRANO V; $ 25.646.553 ;;;;;;;;;;;;;;
8/4/2026;BELGRANO VI; $ 12.559.810 ;;;;;;;;;;;;;;
8/4/2026;BELGRANO VII - Danesa; $ 59.918.220 ;;;;;;;;;;;;;;
8/4/2026;BELGRANO VIII; $ 14.317.185 ;;;;;;;;;;;;;;
8/4/2026;BERAZATEGUI; $ 53.608.157 ;;;;;;;;;;;;;;
8/4/2026;BERAZATEGUI II; $ 21.722.770 ;;;;;;;;;;;;;;
8/4/2026;Boedo; $ 5.454.911 ;;;;;;;;;;;;;;
8/4/2026;CABALLITO; $ 51.223.126 ;;;;;;;;;;;;;;
8/4/2026;CABALLITO II; $ 17.446.883 ;;;;;;;;;;;;;;
8/4/2026;CABALLITO III; $ 20.571.718 ;;;;;;;;;;;;;;
8/4/2026;CABALLITO IV; $ 22.987.701 ;;;;;;;;;;;;;;
8/4/2026;CHACARITA; $ 6.625.430 ;;;;;;;;;;;;;;
8/4/2026;DEVOTO; $ 32.670.384 ;;;;;;;;;;;;;;
8/4/2026;Devoto II; $ 22.055.309 ;;;;;;;;;;;;;;
8/4/2026;Devoto III; $ 3.354.918 ;;;;;;;;;;;;;;
8/4/2026;Escobar; $ 3.899.385 ;;;;;;;;;;;;;;
8/4/2026;FLORES; $ 32.775.379 ;;;;;;;;;;;;;;
8/4/2026;GONZALEZ CATAN; $ 29.382.404 ;;;;;;;;;;;;;;
8/4/2026;GONZALEZ CATAN II; $ 12.568.025 ;;;;;;;;;;;;;;
8/4/2026;GONZALEZ CATAN III; $ 4.182.703 ;;;;;;;;;;;;;;
8/4/2026;ISDIN G. PACIFICO; $ 705.574 ;;;;;;;;;;;;;;
8/4/2026;ISDIN PALERMO; $ 1.026.920 ;;;;;;;;;;;;;;
8/4/2026;LAS CANITAS; $ 24.483.638 ;;;;;;;;;;;;;;
8/4/2026;LOREAL ALTO PALERMO; $ 3.010.683 ;;;;;;;;;;;;;;
8/4/2026;LOREAL G. PACIFICO; $ 924.109 ;;;;;;;;;;;;;;
8/4/2026;MERCEDES; $ 9.291.486 ;;;;;;;;;;;;;;
8/4/2026;MICROCENTRO; $ 19.613.297 ;;;;;;;;;;;;;;
8/4/2026;MICROCENTRO II; $ 23.149.622 ;;;;;;;;;;;;;;
8/4/2026;MORON; $ 25.018.379 ;;;;;;;;;;;;;;
8/4/2026;NUNEZ; $ 28.358.030 ;;;;;;;;;;;;;;
8/4/2026;PADUA; $ 8.640.084 ;;;;;;;;;;;;;;
8/4/2026;PALERMO; $ 12.711.251 ;;;;;;;;;;;;;;
8/4/2026;PALERMO II; $ 10.996.886 ;;;;;;;;;;;;;;
8/4/2026;PALERMO III; $ 8.433.081 ;;;;;;;;;;;;;;
8/4/2026;PALERMO IV; $ 3.611.154 ;;;;;;;;;;;;;;
8/4/2026;PARQUE CENTENARIO; $ 5.447.181 ;;;;;;;;;;;;;;
8/4/2026;PARQUE PATRICIOS; $ 9.347.063 ;;;;;;;;;;;;;;
8/4/2026;PILAR; $ 10.595.484 ;;;;;;;;;;;;;;
8/4/2026;POMPEYA; $ 10.725.723 ;;;;;;;;;;;;;;
8/4/2026;QUILMES; $ 28.671.219 ;;;;;;;;;;;;;;
8/4/2026;RAMOS MEJIA; $ 22.973.221 ;;;;;;;;;;;;;;
8/4/2026;RAMOS MEJIA II; $ 15.123.709 ;;;;;;;;;;;;;;
8/4/2026;RAMOS MEJIA III; $ 2.189.686 ;;;;;;;;;;;;;;
8/4/2026;RECOLETA; $ 9.682.848 ;;;;;;;;;;;;;;
8/4/2026;RECOLETA II; $ 12.483.237 ;;;;;;;;;;;;;;
8/4/2026;RECOLETA III; $ 28.590.298 ;;;;;;;;;;;;;;
8/4/2026;RECOLETA IV; $ 23.566.853 ;;;;;;;;;;;;;;
8/4/2026;RECOLETA V; $ 20.844.769 ;;;;;;;;;;;;;;
8/4/2026;RETIRO; $ 11.877.721 ;;;;;;;;;;;;;;
8/4/2026;RETIRO II; $ 12.312.803 ;;;;;;;;;;;;;;
8/4/2026;SALADILLO; $ 5.123.931 ;;;;;;;;;;;;;;
8/4/2026;SAN ISIDRO; $ 81.566.367 ;;;;;;;;;;;;;;
8/4/2026;SAN ISIDRO II; $ 18.489.855 ;;;;;;;;;;;;;;
8/4/2026;SAN MIGUEL; $ 9.317.660 ;;;;;;;;;;;;;;
8/4/2026;TRIBUNALES; $ 22.930.691 ;;;;;;;;;;;;;;
8/4/2026;VILLA BALLESTER; $ 62.219.177 ;;;;;;;;;;;;;;
8/4/2026;VILLA BALLESTER II; $ 30.058.911 ;;;;;;;;;;;;;;
8/4/2026;VILLA CRESPO; $ 23.412.929 ;;;;;;;;;;;;;;
8/4/2026;VILLA DEL PARQUE; $ 24.242.083 ;;;;;;;;;;;;;;
8/4/2026;VILLA DEL PARQUE II; $ 24.618.119 ;;;;;;;;;;;;;;
8/4/2026;VILLA LURO; $ 14.104.479 ;;;;;;;;;;;;;;
8/4/2026;VILLA URQUIZA; $ 33.184.714 ;;;;;;;;;;;;;;
8/4/2026;VILLA URQUIZA II; $ 16.236.526 ;;;;;;;;;;;;;;
8/4/2026;VILLA URQUIZA III; $ 23.813.610 ;;;;;;;;;;;;;;
Total 8/4/2026;; $ 1.359.475.028 ;;;;;;;;;;;;;;
9/4/2026;BARRACAS; $ 16.133.560 ;;;;;;;;;;;;;;
9/4/2026;BECCAR; $ 33.901.217 ;;;;;;;;;;;;;;
9/4/2026;BELGRANO; $ 18.229.966 ;;;;;;;;;;;;;;
9/4/2026;BELGRANO II; $ 18.959.404 ;;;;;;;;;;;;;;
9/4/2026;BELGRANO III; $ 12.813.348 ;;;;;;;;;;;;;;
9/4/2026;BELGRANO IV; $ 13.667.652 ;;;;;;;;;;;;;;
9/4/2026;BELGRANO V; $ 24.143.944 ;;;;;;;;;;;;;;
9/4/2026;BELGRANO VI; $ 12.730.346 ;;;;;;;;;;;;;;
9/4/2026;BELGRANO VII - Danesa; $ 59.958.016 ;;;;;;;;;;;;;;
9/4/2026;BELGRANO VIII; $ 13.756.304 ;;;;;;;;;;;;;;
9/4/2026;BERAZATEGUI; $ 55.662.472 ;;;;;;;;;;;;;;
9/4/2026;BERAZATEGUI II; $ 20.671.558 ;;;;;;;;;;;;;;
9/4/2026;Boedo; $ 5.409.587 ;;;;;;;;;;;;;;
9/4/2026;CABALLITO; $ 51.042.646 ;;;;;;;;;;;;;;
9/4/2026;CABALLITO II; $ 16.466.770 ;;;;;;;;;;;;;;
9/4/2026;CABALLITO III; $ 20.331.681 ;;;;;;;;;;;;;;
9/4/2026;CABALLITO IV; $ 22.413.087 ;;;;;;;;;;;;;;
9/4/2026;CHACARITA; $ 5.717.935 ;;;;;;;;;;;;;;
9/4/2026;DEVOTO; $ 31.078.686 ;;;;;;;;;;;;;;
9/4/2026;Devoto II; $ 21.348.474 ;;;;;;;;;;;;;;
9/4/2026;Devoto III; $ 3.327.043 ;;;;;;;;;;;;;;
9/4/2026;Escobar; $ 3.866.986 ;;;;;;;;;;;;;;
9/4/2026;FLORES; $ 31.771.186 ;;;;;;;;;;;;;;
9/4/2026;GONZALEZ CATAN; $ 28.765.311 ;;;;;;;;;;;;;;
9/4/2026;GONZALEZ CATAN II; $ 12.824.754 ;;;;;;;;;;;;;;
9/4/2026;GONZALEZ CATAN III; $ 3.882.454 ;;;;;;;;;;;;;;
9/4/2026;ISDIN G. PACIFICO; $ 785.011 ;;;;;;;;;;;;;;
9/4/2026;ISDIN PALERMO; $ 898.518 ;;;;;;;;;;;;;;
9/4/2026;LAS CANITAS; $ 25.296.472 ;;;;;;;;;;;;;;
9/4/2026;LOREAL ALTO PALERMO; $ 2.940.042 ;;;;;;;;;;;;;;
9/4/2026;LOREAL G. PACIFICO; $ 1.554.978 ;;;;;;;;;;;;;;
9/4/2026;MERCEDES; $ 8.385.678 ;;;;;;;;;;;;;;
9/4/2026;MICROCENTRO; $ 18.766.457 ;;;;;;;;;;;;;;
9/4/2026;MICROCENTRO II; $ 24.692.258 ;;;;;;;;;;;;;;
9/4/2026;MORON; $ 26.611.489 ;;;;;;;;;;;;;;
9/4/2026;NUNEZ; $ 26.988.210 ;;;;;;;;;;;;;;
9/4/2026;PADUA; $ 8.347.846 ;;;;;;;;;;;;;;
9/4/2026;PALERMO; $ 12.742.346 ;;;;;;;;;;;;;;
9/4/2026;PALERMO II; $ 10.751.444 ;;;;;;;;;;;;;;
9/4/2026;PALERMO III; $ 8.406.979 ;;;;;;;;;;;;;;
9/4/2026;PALERMO IV; $ 3.581.150 ;;;;;;;;;;;;;;
9/4/2026;PARQUE CENTENARIO; $ 4.838.779 ;;;;;;;;;;;;;;
9/4/2026;PARQUE PATRICIOS; $ 10.746.608 ;;;;;;;;;;;;;;
9/4/2026;PILAR; $ 10.309.182 ;;;;;;;;;;;;;;
9/4/2026;POMPEYA; $ 10.558.261 ;;;;;;;;;;;;;;
9/4/2026;QUILMES; $ 27.108.330 ;;;;;;;;;;;;;;
9/4/2026;RAMOS MEJIA; $ 21.384.880 ;;;;;;;;;;;;;;
9/4/2026;RAMOS MEJIA II; $ 15.811.264 ;;;;;;;;;;;;;;
9/4/2026;RAMOS MEJIA III; $ 2.018.135 ;;;;;;;;;;;;;;
9/4/2026;RECOLETA; $ 10.332.390 ;;;;;;;;;;;;;;
9/4/2026;RECOLETA II; $ 12.643.774 ;;;;;;;;;;;;;;
9/4/2026;RECOLETA III; $ 27.272.940 ;;;;;;;;;;;;;;
9/4/2026;RECOLETA IV; $ 24.928.156 ;;;;;;;;;;;;;;
9/4/2026;RECOLETA V; $ 20.726.718 ;;;;;;;;;;;;;;
9/4/2026;RETIRO; $ 11.760.233 ;;;;;;;;;;;;;;
9/4/2026;RETIRO II; $ 12.658.116 ;;;;;;;;;;;;;;
9/4/2026;SALADILLO; $ 4.929.923 ;;;;;;;;;;;;;;
9/4/2026;SAN ISIDRO; $ 73.126.844 ;;;;;;;;;;;;;;
9/4/2026;SAN ISIDRO II; $ 19.089.207 ;;;;;;;;;;;;;;
9/4/2026;SAN MIGUEL; $ 10.348.731 ;;;;;;;;;;;;;;
9/4/2026;TRIBUNALES; $ 21.889.214 ;;;;;;;;;;;;;;
9/4/2026;VILLA BALLESTER; $ 62.649.941 ;;;;;;;;;;;;;;
9/4/2026;VILLA BALLESTER II; $ 28.595.727 ;;;;;;;;;;;;;;
9/4/2026;VILLA CRESPO; $ 23.640.818 ;;;;;;;;;;;;;;
9/4/2026;VILLA DEL PARQUE; $ 24.198.183 ;;;;;;;;;;;;;;
9/4/2026;VILLA DEL PARQUE II; $ 25.317.903 ;;;;;;;;;;;;;;
9/4/2026;VILLA LURO; $ 13.655.754 ;;;;;;;;;;;;;;
9/4/2026;VILLA URQUIZA; $ 33.560.674 ;;;;;;;;;;;;;;
9/4/2026;VILLA URQUIZA II; $ 16.758.441 ;;;;;;;;;;;;;;
9/4/2026;VILLA URQUIZA III; $ 26.811.923 ;;;;;;;;;;;;;;
Total 9/4/2026;; $ 1.347.294.313 ;;;;;;;;;;;;;;
10/4/2026;BARRACAS; $ 15.642.432 ;;;;;;;;;;;;;;
10/4/2026;BECCAR; $ 33.378.055 ;;;;;;;;;;;;;;
10/4/2026;BELGRANO; $ 17.775.444 ;;;;;;;;;;;;;;
10/4/2026;BELGRANO II; $ 18.281.123 ;;;;;;;;;;;;;;
10/4/2026;BELGRANO III; $ 12.496.807 ;;;;;;;;;;;;;;
10/4/2026;BELGRANO IV; $ 14.197.125 ;;;;;;;;;;;;;;
10/4/2026;BELGRANO V; $ 24.303.866 ;;;;;;;;;;;;;;
10/4/2026;BELGRANO VI; $ 14.002.864 ;;;;;;;;;;;;;;
10/4/2026;BELGRANO VII - Danesa; $ 60.514.331 ;;;;;;;;;;;;;;
10/4/2026;BELGRANO VIII; $ 13.599.647 ;;;;;;;;;;;;;;
10/4/2026;BERAZATEGUI; $ 53.946.686 ;;;;;;;;;;;;;;
10/4/2026;BERAZATEGUI II; $ 19.340.574 ;;;;;;;;;;;;;;
10/4/2026;Boedo; $ 5.320.254 ;;;;;;;;;;;;;;
10/4/2026;CABALLITO; $ 49.884.147 ;;;;;;;;;;;;;;
10/4/2026;CABALLITO II; $ 17.353.834 ;;;;;;;;;;;;;;
10/4/2026;CABALLITO III; $ 19.718.767 ;;;;;;;;;;;;;;
10/4/2026;CABALLITO IV; $ 23.331.327 ;;;;;;;;;;;;;;
10/4/2026;CHACARITA; $ 6.229.717 ;;;;;;;;;;;;;;
10/4/2026;DEVOTO; $ 30.553.217 ;;;;;;;;;;;;;;
10/4/2026;Devoto II; $ 21.424.963 ;;;;;;;;;;;;;;
10/4/2026;Devoto III; $ 3.272.100 ;;;;;;;;;;;;;;
10/4/2026;Escobar; $ 3.803.127 ;;;;;;;;;;;;;;
10/4/2026;FLORES; $ 30.827.242 ;;;;;;;;;;;;;;
10/4/2026;GONZALEZ CATAN; $ 27.939.312 ;;;;;;;;;;;;;;
10/4/2026;GONZALEZ CATAN II; $ 12.132.325 ;;;;;;;;;;;;;;
10/4/2026;GONZALEZ CATAN III; $ 3.665.767 ;;;;;;;;;;;;;;
10/4/2026;ISDIN G. PACIFICO; $ 1.072.542 ;;;;;;;;;;;;;;
10/4/2026;ISDIN PALERMO; $ 1.160.873 ;;;;;;;;;;;;;;
10/4/2026;LAS CANITAS; $ 25.429.755 ;;;;;;;;;;;;;;
10/4/2026;LOREAL ALTO PALERMO; $ 3.160.015 ;;;;;;;;;;;;;;
10/4/2026;LOREAL G. PACIFICO; $ 1.126.357 ;;;;;;;;;;;;;;
10/4/2026;MERCEDES; $ 8.627.303 ;;;;;;;;;;;;;;
10/4/2026;MICROCENTRO; $ 22.101.434 ;;;;;;;;;;;;;;
10/4/2026;MICROCENTRO II; $ 20.998.957 ;;;;;;;;;;;;;;
10/4/2026;MORON; $ 27.181.914 ;;;;;;;;;;;;;;
10/4/2026;NUNEZ; $ 27.408.779 ;;;;;;;;;;;;;;
10/4/2026;PADUA; $ 8.899.852 ;;;;;;;;;;;;;;
10/4/2026;PALERMO; $ 11.845.792 ;;;;;;;;;;;;;;
10/4/2026;PALERMO II; $ 10.292.746 ;;;;;;;;;;;;;;
