ID_Sucursal,Sucursal,Fecha,Hora,Tickets,Unidades,Neto,Saldo_Cobertura,Saldo_Cliente
18,NUNEZ,2026-04-12,17,126,162,3569381.74,1553267.6,1988790.03
18,NUNEZ,2026-04-12,18,122,142,2587606.75,491313.93,1924711.35
18,NUNEZ,2026-04-12,19,174,220,3027477.6,1111043.13,1794841.16
18,NUNEZ,2026-04-12,20,100,132,1749045.15,601781.95,1111336.82
20,CABALLITO,2026-04-12,0,5,3,255080.27,121786.94,72380.68
20,CABALLITO,2026-04-12,1,25,26,257770.08,23827.14,330136.79
20,CABALLITO,2026-04-12,2,4,4,197388.28,0.0,98694.14
20,CABALLITO,2026-04-12,3,4,4,30142.92,0.0,15071.46
20,CABALLITO,2026-04-12,4,2,2,5719.0,0.0,11438.0
20,CABALLITO,2026-04-12,5,1,1,4097.2,0.0,4097.2
20,CABALLITO,2026-04-12,6,1,-1,-11506.39,0.0,-11506.39
20,CABALLITO,2026-04-12,7,12,13,183796.9,20309.92,100656.96
20,CABALLITO,2026-04-12,8,19,21,460730.04,226716.68,155804.63
20,CABALLITO,2026-04-12,9,75,84,2622601.65,1185156.53,1291732.83
20,CABALLITO,2026-04-12,10,207,243,4820121.19,1680657.12,2962346.37
20,CABALLITO,2026-04-12,11,182,206,3811384.48,1405326.95,1873956.35
20,CABALLITO,2026-04-12,12,122,137,2408976.6,697370.49,1692953.07
20,CABALLITO,2026-04-12,13,162,180,2835842.36,680580.52,2347818.02
20,CABALLITO,2026-04-12,14,97,115,1920222.58,561447.24,1130221.04
20,CABALLITO,2026-04-12,15,154,155,2832334.5,767927.84,1637507.27
20,CABALLITO,2026-04-12,16,207,244,4591543.01,1419595.61,3222810.22
20,CABALLITO,2026-04-12,17,234,275,4318837.47,1127204.29,4101214.72
20,CABALLITO,2026-04-12,18,243,295,4163058.78,1328639.1,2829103.06
20,CABALLITO,2026-04-12,19,193,226,3868423.88,671446.86,2741217.23
20,CABALLITO,2026-04-12,20,207,236,4652490.12,1210811.66,3301105.42
20,CABALLITO,2026-04-12,21,121,205,1529320.97,150895.05,1370948.78
20,CABALLITO,2026-04-12,22,66,47,418622.21,55451.97,182941.38
20,CABALLITO,2026-04-12,23,47,54,1024611.57,413245.96,656036.97
23,SAN ISIDRO,2026-04-12,0,57,73,810307.03,179118.48,612550.39
23,SAN ISIDRO,2026-04-12,1,56,67,774489.8,264416.76,380441.36
23,SAN ISIDRO,2026-04-12,2,16,21,344017.52,117410.22,167861.8
23,SAN ISIDRO,2026-04-12,3,12,15,224155.77,37265.55,272365.3
23,SAN ISIDRO,2026-04-12,4,7,7,132172.5,0.0,279111.2
23,SAN ISIDRO,2026-04-12,5,2,2,22775.12,0.0,22775.12
23,SAN ISIDRO,2026-04-12,6,17,22,406749.35,0.0,449442.01
23,SAN ISIDRO,2026-04-12,7,19,45,344582.89,54364.71,170981.15
23,SAN ISIDRO,2026-04-12,8,44,48,789815.42,89669.05,1219678.54
23,SAN ISIDRO,2026-04-12,9,114,154,3369559.3,761660.3,2390200.81
23,SAN ISIDRO,2026-04-12,10,230,280,4203329.21,1143516.78,2808936.68
23,SAN ISIDRO,2026-04-12,11,284,351,5083850.35,1420632.96,3653408.64
23,SAN ISIDRO,2026-04-12,12,297,386,4779666.11,1085347.04,3574147.93
23,SAN ISIDRO,2026-04-12,13,361,428,6267389.28,2287826.4,3518730.09
23,SAN ISIDRO,2026-04-12,14,216,253,3480547.74,834302.3,2665592.38
23,SAN ISIDRO,2026-04-12,15,283,360,5931862.42,1955316.38,4714407.33
23,SAN ISIDRO,2026-04-12,16,295,391,5702015.02,1863623.85,3476550.74
23,SAN ISIDRO,2026-04-12,17,366,467,8190497.8,2431937.56,7120575.03
23,SAN ISIDRO,2026-04-12,18,282,366,5597648.55,1630084.51,4001854.9
23,SAN ISIDRO,2026-04-12,19,348,453,8724272.71,2704720.35,6801272.55
23,SAN ISIDRO,2026-04-12,20,328,408,7542556.1,2540143.87,4330612.72
