ID_Sucursal,Sucursal,Fecha,Hora,Tickets,Unidades,Neto,Saldo_Cobertura,Saldo_Cliente
23,SAN ISIDRO,2026-04-19,7,5,1,50359.28,28229.3,22129.98
23,SAN ISIDRO,2026-04-19,8,111,148,2746504.71,803445.62,1962181.74
23,SAN ISIDRO,2026-04-19,9,101,143,3763162.06,1159723.39,2923902.18
23,SAN ISIDRO,2026-04-19,10,198,270,4403582.41,1438419.53,3296641.13
23,SAN ISIDRO,2026-04-19,11,352,453,9661983.03,3995081.37,7406931.36
23,SAN ISIDRO,2026-04-19,12,339,394,7564801.22,2191738.6,7666182.67
23,SAN ISIDRO,2026-04-19,13,310,435,4990214.86,1754604.85,2799909.2
23,SAN ISIDRO,2026-04-19,14,267,405,3627154.89,868489.1,3646435.0
23,SAN ISIDRO,2026-04-19,15,217,273,4036057.2,1041314.31,3171466.29
24,BECCAR,2026-04-19,9,91,122,2858556.14,1081831.36,1382203.16
24,BECCAR,2026-04-19,10,127,173,2418325.25,801983.32,1793524.67
24,BECCAR,2026-04-19,11,118,145,2262371.29,530318.63,1746310.19
24,BECCAR,2026-04-19,12,178,237,4414421.26,1868886.28,3441018.94
24,BECCAR,2026-04-19,13,144,191,2139203.47,585297.22,1531864.07
24,BECCAR,2026-04-19,14,74,91,1481976.3,509102.09,726863.16
24,BECCAR,2026-04-19,15,78,90,1391500.66,370547.73,1185041.46
26,BELGRANO VI,2026-04-19,10,62,82,1343178.16,500334.07,684732.29
26,BELGRANO VI,2026-04-19,11,98,134,1476718.33,143832.32,904024.83
26,BELGRANO VI,2026-04-19,12,76,81,875824.79,176880.67,772431.31
26,BELGRANO VI,2026-04-19,13,38,46,328056.64,19383.2,320996.29
26,BELGRANO VI,2026-04-19,14,38,93,776547.98,183564.47,361250.05
26,BELGRANO VI,2026-04-19,15,86,110,1040159.83,507898.86,631339.92
28,BELGRANO V,2026-04-19,9,20,28,307536.58,70585.97,207582.57
28,BELGRANO V,2026-04-19,10,107,137,1380087.95,432472.7,1176719.94
28,BELGRANO V,2026-04-19,11,185,246,2603156.25,405928.18,5817261.5
28,BELGRANO V,2026-04-19,12,194,250,2958821.23,821120.9,2277238.96
28,BELGRANO V,2026-04-19,13,137,197,4320670.66,1320947.38,3744733.79
28,BELGRANO V,2026-04-19,14,89,120,1612044.28,323916.2,1620531.06
28,BELGRANO V,2026-04-19,15,93,112,1394805.58,527788.9,659232.6
28,BELGRANO V,2026-04-19,16,6,6,30604.23,0.0,183625.38
29,VILLA URQUIZA,2026-04-19,10,62,103,1627365.57,576390.79,1259408.21
29,VILLA URQUIZA,2026-04-19,11,96,119,4049694.08,2281618.89,2009632.35
29,VILLA URQUIZA,2026-04-19,12,120,138,2037956.56,687507.86,1187283.73
29,VILLA URQUIZA,2026-04-19,13,75,86,873222.93,15900.37,819896.32
29,VILLA URQUIZA,2026-04-19,14,66,85,1980374.57,1075291.31,668449.92
29,VILLA URQUIZA,2026-04-19,15,99,138,2098690.54,713124.2,1501587.41
30,VILLA DEL PARQUE,2026-04-19,10,41,39,759522.99,415559.26,352957.18
30,VILLA DEL PARQUE,2026-04-19,11,30,32,604403.34,278102.26,263749.7
30,VILLA DEL PARQUE,2026-04-19,12,56,71,640467.19,0.0,819692.35
30,VILLA DEL PARQUE,2026-04-19,13,41,37,728769.48,259579.66,328840.34
30,VILLA DEL PARQUE,2026-04-19,14,20,15,444635.53,68925.82,187571.68
30,VILLA DEL PARQUE,2026-04-19,15,41,55,493926.86,60565.36,418324.61
31,VILLA URQUIZA II,2026-04-19,10,55,65,1036325.91,151650.54,765189.25
31,VILLA URQUIZA II,2026-04-19,11,58,94,1566571.97,337498.13,896380.63
31,VILLA URQUIZA II,2026-04-19,12,87,114,1242887.62,254475.57,1117827.2
31,VILLA URQUIZA II,2026-04-19,13,88,108,1500576.51,261687.92,2327549.45
31,VILLA URQUIZA II,2026-04-19,14,23,35,210490.51,21048.78,172912.28
31,VILLA URQUIZA II,2026-04-19,15,61,75,1222211.44,306625.78,898167.52
32,VILLA URQUIZA III,2026-04-19,10,72,97,1693439.32,371357.84,2476481.61
32,VILLA URQUIZA III,2026-04-19,11,114,144,1705850.99,423364.94,1319197.72
32,VILLA URQUIZA III,2026-04-19,12,135,163,3031026.91,749397.88,2055717.78
32,VILLA URQUIZA III,2026-04-19,13,131,163,3051497.96,1402748.37,1577806.31
32,VILLA URQUIZA III,2026-04-19,14,55,60,647547.07,187855.44,541270.85
32,VILLA URQUIZA III,2026-04-19,15,35,44,795949.84,349704.86,594601.28
40,VILLA CRESPO,2026-04-19,10,47,94,483998.33,209114.17,210813.49
40,VILLA CRESPO,2026-04-19,11,118,159,2798729.01,715527.82,1600845.52
40,VILLA CRESPO,2026-04-19,12,140,186,2706627.73,922563.0,1720712.0
40,VILLA CRESPO,2026-04-19,13,97,135,2193370.81,918225.93,1014483.32
40,VILLA CRESPO,2026-04-19,14,65,76,1064942.57,354795.16,713677.6
40,VILLA CRESPO,2026-04-19,15,93,97,1674939.49,644168.4,941867.98
